Sample in Buffer,Sample in Window,TRIGGER,addr_wire[11:0],douta_wire[23:0],filtered_ecg_wire[39:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX
1587,1587,0,354,f92c60,fff380b300
1588,1588,0,355,eb851f,fff37e2800
1589,1589,0,356,e9d037,fff3c26f00
1590,1590,0,357,eaaaab,fff424c600
1591,1591,0,358,e9d037,fff47a5a00
1592,1592,0,359,f0a3d7,fff4a3bf00
1593,1593,0,35a,f851ec,fff4989900
1594,1594,0,35b,fbbbbc,fff46ab700
1595,1595,0,35c,ff258c,fff43bb000
1596,1596,0,35d,fd70a4,fff42d4300
1597,1597,0,35e,f5c28f,fff453bd00
1598,1598,0,35f,e9d037,fff4a71500
1599,1599,0,360,e8f5c3,fff50a4a00
1600,1600,0,361,eaaaab,fff5542b00
1601,1601,0,362,e9d037,fff560d400
1602,1602,0,363,ee147b,fff51e9300
1603,1603,0,364,fbbbbc,fff49d0400
1604,1604,0,365,fa06d4,fff4014600
1605,1605,0,366,f5c28f,fff378e700
1606,1606,0,367,f851ec,fff3250e00
1607,1607,0,368,f851ec,fff3153f00
1608,1608,0,369,ee147b,fff33e0f00
1609,1609,0,36a,eb851f,fff382fb00
1610,1610,0,36b,e8f5c3,fff3c04a00
1611,1611,0,36c,eb851f,fff3e03900
1612,1612,0,36d,eaaaab,fff3d56a00
1613,1613,0,36e,f69d03,fff3a93600
1614,1614,0,36f,fa06d4,fff36c7e00
1615,1615,0,370,fc9630,fff33ad900
1616,1616,0,371,f5c28f,fff3224100
1617,1617,0,372,f40da7,fff3298c00
1618,1618,0,373,eeeeef,fff345ae00
1619,1619,0,374,e740db,fff3616000
1620,1620,0,375,eaaaab,fff3677b00
1621,1621,0,376,eb851f,fff34a5900
1622,1622,0,377,eeeeef,fff30fc600
1623,1623,0,378,fc9630,fff2d16300
1624,1624,0,379,fa06d4,fff2ae4c00
1625,1625,0,37a,f851ec,fff2c4a200
1626,1626,0,37b,f77778,fff31b2c00
1627,1627,0,37c,eeeeef,fff39f3300
1628,1628,0,37d,e66667,fff4228500
1629,1629,0,37e,eb851f,fff46f6800
1630,1630,0,37f,eaaaab,fff45a8900
1631,1631,0,380,e3d70a,fff3d29700
1632,1632,0,381,ee147b,fff2ea3b00
1633,1633,0,382,f851ec,fff1d45200
1634,1634,0,383,fbbbbc,fff0d93700
1635,1635,0,384,fd70a4,fff03bf700
1636,1636,0,385,fe4b18,fff02d4b00
1637,1637,0,386,fae148,fff0c13200
1638,1638,0,387,f0a3d7,fff1e4cd00
1639,1639,0,388,ec5f93,fff365a500
1640,1640,0,389,e740db,fff4f90f00
1641,1641,0,38a,ed3a07,fff6578800
1642,1642,0,38b,f33333,fff746b900
1643,1643,0,38c,00da74,fff7b57600
1644,1644,0,38d,051eb8,fff7b6c700
1645,1645,0,38e,000000,fff77d3600
1646,1646,0,38f,fd70a4,fff744e800
1647,1647,0,390,f92c60,fff73e5000
1648,1648,0,391,f0a3d7,fff77d1400
1649,1649,0,392,efc963,fff7f59700
1650,1650,0,393,ed3a07,fff8829900
1651,1651,0,394,eeeeef,fff8fb7e00
1652,1652,0,395,0369d0,fff94ce900
1653,1653,0,396,044444,fff9785900
1654,1654,0,397,fbbbbc,fff9944200
1655,1655,0,398,ff258c,fff9b96b00
1656,1656,0,399,fe4b18,fff9f7cf00
1657,1657,0,39a,f851ec,fffa4cd800
1658,1658,0,39b,f17e4b,fffa9b4600
1659,1659,0,39c,ed3a07,fffabc6c00
1660,1660,0,39d,f17e4b,fffa95d200
1661,1661,0,39e,f5c28f,fffa236b00
1662,1662,0,39f,fe4b18,fff9823700
1663,1663,0,3a0,01b4e8,fff8e47100
1664,1664,0,3a1,088888,fff88bab00
1665,1665,0,3a2,06d3a0,fff8ab6400
1666,1666,0,3a3,028f5c,fff95c3f00
1667,1667,0,3a4,fbbbbc,fffa8afd00
1668,1668,0,3a5,f92c60,fffc031d00
1669,1669,0,3a6,f33333,fffd77bb00
1670,1670,0,3a7,f17e4b,fffe9d1400
1671,1671,0,3a8,efc963,ffff358200
1672,1672,0,3a9,f92c60,ffff298200
1673,1673,0,3aa,fd70a4,fffe826800
1674,1674,0,3ab,ff258c,fffd69d200
1675,1675,0,3ac,ff258c,fffc167d00
1676,1676,0,3ad,fc9630,fffac13400
1677,1677,0,3ae,f258bf,fff9912b00
1678,1678,0,3af,eb851f,fff8959a00
1679,1679,0,3b0,e81b4f,fff7c43500
1680,1680,0,3b1,e81b4f,fff705c700
1681,1681,0,3b2,e8f5c3,fff63e8b00
1682,1682,0,3b3,f258bf,fff5605d00
1683,1683,0,3b4,fa06d4,fff46ff900
1684,1684,0,3b5,fae148,fff384ed00
1685,1685,0,3b6,f92c60,fff2bd6000
1686,1686,0,3b7,f851ec,fff234d200
1687,1687,0,3b8,ec5f93,fff1f29400
1688,1688,0,3b9,e81b4f,fff1eae300
1689,1689,0,3ba,e740db,fff1fdbf00
1690,1690,0,3bb,eaaaab,fff20d1400
1691,1691,0,3bc,efc963,fff205ad00
1692,1692,0,3bd,efc963,fff1e57200
1693,1693,0,3be,f851ec,fff1c12100
1694,1694,0,3bf,f33333,fff1ac2d00
1695,1695,0,3c0,f258bf,fff1b5b800
1696,1696,0,3c1,f40da7,fff1d69c00
1697,1697,0,3c2,e66667,fff1f0a100
1698,1698,0,3c3,e58bf3,fff1ded000
1699,1699,0,3c4,e3d70a,fff17af300
1700,1700,0,3c5,eaaaab,fff0c01500
1701,1701,0,3c6,eaaaab,ffefc1a200
1702,1702,0,3c7,f4e81b,ffeeb96d00
1703,1703,0,3c8,f40da7,ffede92f00
1704,1704,0,3c9,f92c60,ffed949100
1705,1705,0,3ca,f92c60,ffeddd6400
1706,1706,0,3cb,f77778,ffeec34500
1707,1707,0,3cc,e9d037,fff013fc00
1708,1708,0,3cd,e3d70a,fff1808400
1709,1709,0,3ce,e8f5c3,fff2b1e800
1710,1710,0,3cf,ec5f93,fff3664300
1711,1711,0,3d0,e3d70a,fff377f400
1712,1712,0,3d1,eb851f,fff2eda300
1713,1713,0,3d2,f5c28f,fff1f28b00
1714,1714,0,3d3,fd70a4,fff0d23c00
1715,1715,0,3d4,fae148,ffefd82d00
1716,1716,0,3d5,f5c28f,ffef431600
1717,1717,0,3d6,e81b4f,ffef2df200
1718,1718,0,3d7,e58bf3,ffef916200
1719,1719,0,3d8,df92c6,fff039cc00
1720,1720,0,3d9,e3d70a,fff0e43800
1721,1721,0,3da,e2fc96,fff1455000
1722,1722,0,3db,eeeeef,fff1322700
1723,1723,0,3dc,efc963,fff09bda00
1724,1724,0,3dd,efc963,ffef9b7400
1725,1725,0,3de,f40da7,ffee604500
1726,1726,0,3df,f77778,ffed2ad000
