Sample in Buffer,Sample in Window,TRIGGER,addr_wire[11:0],douta_wire[23:0],filtered_ecg_wire[39:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX
2896,2896,0,559,044444,ffee6f9400
2897,2897,0,55a,07ae14,ffede20000
2898,2898,0,55b,07ae14,ffee8ee300
2899,2899,0,55c,18bf25,fff0b78a00
2900,2900,0,55d,23d70a,fff4823e00
2901,2901,0,55e,340da7,fffa028f00
2902,2902,0,55f,53a06d,0001393300
2903,2903,0,560,6d3a06,000a228d00
2904,2904,0,561,75c28e,0014b95700
2905,2905,0,562,6eeeee,0020e01600
2906,2906,0,563,62fc95,002e468700
2907,2907,0,564,4da740,003c439a00
2908,2908,0,565,4369d0,0049cbcf00
2909,2909,0,566,377777,00557c5e00
2910,2910,0,567,333333,0050982700
2911,2911,0,568,2fc963,00469f0500
2912,2912,0,569,1eb852,003f67fb00
2913,2913,0,56a,06d3a0,003b794700
2914,2914,0,56b,f17e4b,0039fe3200
2915,2915,0,56c,e58bf3,00392bcd00
2916,2916,0,56d,da740e,0036cd2000
2917,2917,0,56e,d7e4b2,0030eba900
2918,2918,0,56f,d55556,00265afa00
2919,2919,0,570,da740e,00171e2500
2920,2920,0,571,e22222,000472a200
2921,2921,0,572,f17e4b,fff09cbc00
2922,2922,0,573,f92c60,ffde642800
2923,2923,0,574,01b4e8,ffd0809300
2924,2924,0,575,fbbbbc,ffc8f0e700
2925,2925,0,576,f5c28f,ffc88e3e00
2926,2926,0,577,efc963,ffcece3c00
2927,2927,0,578,efc963,ffd9ea8200
2928,2928,0,579,e8f5c3,ffe73ee900
2929,2929,0,57a,ed3a07,fff3efdc00
2930,2930,0,57b,f17e4b,fffd88c000
2931,2931,0,57c,f77778,00028c2d00
2932,2932,0,57d,00da74,0002b5b100
2933,2933,0,57e,fc9630,fffee9a900
2934,2934,0,57f,fe4b18,fff8e93c00
2935,2935,0,580,fe4b18,fff2c6b100
2936,2936,0,581,f40da7,ffee599400
2937,2937,0,582,eeeeef,ffecc8ba00
2938,2938,0,583,f258bf,ffee528500
2939,2939,0,584,f0a3d7,fff2560500
2940,2940,0,585,e2fc96,fff787bb00
